dcdplugin) detected standard 32-bit DCD file of native endianness
dcdplugin) CHARMM format DCD file (also NAMD 2.1 and later)
main) file: namdOut.dcd
  4257 atoms, 20 frames, size:    1.0MB
atom 0 [ -13.015332, -13.530162, 27.952332 ]
atom 1 [ 14.568632, -13.684542, 20.653337 ]
atom 2 [ 13.027067, -11.254972, 22.677952 ]
atom 3 [ 13.281890, -9.493651, 25.836477 ]
atom 4 [ 11.085866, -6.131950, 29.346460 ]
atom 5 [ 9.870412, -3.901361, 22.055119 ]
atom 6 [ 7.508462, -0.840976, 27.552126 ]
atom 7 [ 5.971042, 1.614163, 31.050529 ]
atom 8 [ 4.377958, 3.961155, 29.740927 ]
atom 9 [ 5.597233, 5.497291, 33.375332 ]
atom 10 [ 3.248743, 5.572376, 26.939301 ]
atom 11 [ 2.311291, 8.228259, 25.378366 ]
atom 12 [ 0.407975, 10.156073, 23.637657 ]
atom 13 [ -0.963710, 13.307282, 20.209381 ]
atom 14 [ -11.760104, -13.074497, 22.614201 ]
atom 15 [ -13.417117, -10.471967, 20.679800 ]
atom 16 [ -13.856923, -11.825407, 24.807308 ]
atom 17 [ 14.286142, -7.006746, 28.461384 ]
atom 18 [ 12.324241, -6.405383, 25.921377 ]
atom 19 [ 13.037455, -3.516307, 19.845390 ]
atom 20 [ 10.578704, -0.864801, 19.959461 ]
atom 21 [ 9.207192, 0.456815, 30.136810 ]
atom 22 [ 7.872922, 2.441909, 27.230396 ]
atom 23 [ 6.464571, 5.464571, 27.961754 ]
atom 24 [ 6.781525, 8.412325, 30.966574 ]
atom 25 [ 4.492474, 9.935252, 27.314333 ]
atom 26 [ 4.127662, 8.420174, 32.777370 ]
atom 27 [ 1.133297, 13.442200, 23.198006 ]
atom 28 [ -8.704039, -13.914268, 23.419312 ]
atom 29 [ -10.750346, -12.041972, 26.093706 ]
atom 30 [ -9.861328, -10.758841, 20.961239 ]
atom 31 [ -11.822909, -9.286512, 23.687143 ]
atom 32 [ -14.047476, -6.035694, 20.240299 ]
atom 33 [ 14.106153, -4.614928, 23.708271 ]
atom 34 [ 12.360354, -1.866869, 22.687996 ]
atom 35 [ 12.830651, 0.937252, 24.133696 ]
atom 36 [ 9.871025, 2.467659, 24.284395 ]
atom 37 [ 7.680097, 4.878396, 24.504944 ]
atom 38 [ 9.070984, 6.825072, 29.487555 ]
atom 39 [ 7.642789, 9.652737, 27.741749 ]
